,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases/1Mpop,Deaths/1Mpop,TotalTests,Tests/1Mpop,Population
0,USA,45803848,11316,744755,209,35386503,9672590,15113,137338,2233,668910074,2005659,333511317
1,India,34093291,12242,452485,164,33450731,190075,8944,24395,324,591924874,423550,1397531610
2,Brazil,21644464,0,603324,0,20794497,246643,8318,100901,2813,63776166,297308,214512005
3,UK,8497868,49156,138629,45,6954653,1404586,791,124334,2028,321188533,4699384,68346945
4,Russia,8027012,34325,224310,998,7017055,785647,2300,54974,1536,200000000,1369719,146015385
5,Turkey,7683517,29240,67837,214,7116305,499375,633,89854,793,92365793,1080159,85511306
6,France,7090109,1057,117306,41,6885128,87675,1200,108312,1792,146046715,2231074,65460262
7,Iran,5796659,11844,124256,181,5333304,339099,4693,67892,1455,32619228,382042,85381207
8,Argentina,5272551,0,115666,0,5139615,17270,795,115293,2529,24497430,535679,45731580
9,Spain,4988878,1498,87030,18,4839294,62554,454,106650,1860,66213858,1415485,46778197
10,Colombia,4981532,0,126865,0,4825265,29402,342,96572,2459,26267000,509214,51583433
11,Italy,4719493,1597,131585,44,4511545,76363,358,78206,2180,97944298,1623023,60346834
12,Germany,4399353,6132,95504,50,4155000,148849,1336,52292,1135,73348901,871849,84130297
13,Indonesia,4235384,626,142999,47,4075011,17374,0,15276,516,43623819,157339,277259685
14,Mexico,3757056,1993,284381,60,3117254,355421,4798,28749,2176,11070392,84712,130682551
15,Poland,2941126,1537,76115,3,2677537,187474,296,77822,2014,21558454,570435,37792999
16,South Africa,2916593,0,88612,0,2805186,22795,546,48389,1470,18174247,301526,60274322
17,Philippines,2727286,6943,40761,86,2617693,68832,3194,24468,366,22204345,199206,111464326
18,Ukraine,2644694,9524,60810,177,2329418,254466,177,60946,1401,13581768,312989,43393799
19,Malaysia,2396121,5434,27993,72,2278955,89173,679,72827,851,32656276,992547,32901489
20,Peru,2190009,0,199843,0,0,0,979,65247,5954,18538550,552320,33564863
21,Netherlands,2051065,3354,18250,2,1965004,67811,150,119360,1062,17790280,1035288,17183893
22,Iraq,2037012,1559,22785,29,1970713,43514,242,49219,551,15561904,376016,41386318
23,Thailand,1793812,10111,18336,63,1668250,107226,3324,25616,262,9201621,131402,70026431
24,Japan,1714720,429,18103,11,1688963,7654,312,13612,144,25792247,204740,125975608
25,Czechia,1709716,787,30554,9,1662948,16214,86,159270,2846,39349960,3665689,10734670
26,Canada,1679869,0,28493,0,1615992,35384,752,44011,746,44836340,1174658,38169704
27,Chile,1672065,1315,37620,11,1623157,11288,379,86509,1946,22791113,1179163,19328215
28,Bangladesh,1565827,339,27778,10,1528371,9678,1400,9387,167,10113734,60631,166808945
29,Romania,1467401,10141,42042,261,1245422,179937,1764,76942,2204,13934089,730619,19071633
30,Israel,1317650,992,8010,11,1292110,17530,357,141288,859,28382782,3043404,9326000
31,Belgium,1279869,0,25747,0,1186374,67748,193,109815,2209,20730999,1778748,11654825
32,Pakistan,1265047,663,28280,11,1210897,25870,1913,5587,125,20235921,89371,226425487
33,Sweden,1161933,0,14916,0,1130852,16165,26,114131,1465,12879376,1265083,10180653
34,Portugal,1080097,291,18100,3,1031792,30205,62,106327,1782,19249013,1894914,10158250
35,Serbia,1055296,6461,9157,52,925335,120804,279,121412,1054,6020429,692653,8691841
36,Morocco,942280,148,14561,17,921980,5739,347,25144,389,9936044,265134,37475580
37,Cuba,936809,1844,8079,21,920412,8318,241,82774,714,10200001,901245,11317675
38,Kazakhstan,918146,1642,11751,24,860120,46275,221,48154,616,11575012,607078,19066765
39,Vietnam,867221,3168,21269,75,792980,52972,0,8807,216,42517091,431777,98470111
40,Switzerland,856955,2366,11174,3,811941,33840,188,98090,1279,11377331,1302289,8736411
41,Jordan,843204,1715,10887,8,816617,15700,493,81595,1054,10579268,1023736,10333984
42,Hungary,836389,3274,30402,51,791998,13989,126,86865,3157,7172353,744899,9628621
43,Nepal,805560,523,11293,9,782393,11874,0,27020,379,4328478,145188,29813008
44,Austria,777679,1897,11180,13,744328,22171,219,85715,1232,92871473,10236233,9072817
45,UAE,738690,104,2120,0,732437,4133,0,73540,211,89561303,8916251,10044727
46,Tunisia,710906,0,25098,0,684403,1405,135,59349,2095,3023116,252381,11978363
47,Greece,697033,3147,15418,43,653436,28179,347,67299,1489,23344586,2253951,10357184
48,Georgia,664813,2479,9510,42,614855,40448,0,167069,2390,9619086,2417303,3979263
49,Lebanon,633909,0,8425,0,607760,17724,200,93416,1242,4780275,704442,6785901
50,Guatemala,588262,193,14387,57,562291,11584,5,32070,784,2770204,151021,18343156
51,Belarus,573943,1981,4417,15,546415,23111,0,60765,468,9143327,968029,9445303
52,Costa Rica,551144,0,6797,0,470056,74291,369,106931,1319,2471064,479426,5154216
53,Saudi Arabia,547969,38,8765,2,536999,2205,100,15430,247,29796124,839003,35513709
54,Bulgaria,540619,0,22274,0,457860,60485,512,78570,3237,5088188,739481,6880758
55,Sri Lanka,532218,570,13507,23,492975,25736,0,24721,627,5381256,249950,21529312
56,Ecuador,513026,0,32899,0,443880,36247,759,28519,1829,1878768,104440,17988888
57,Bolivia,506654,177,18834,2,468939,18881,220,42653,1586,2477659,208582,11878612
58,Azerbaijan,503452,1245,6778,13,478812,17862,0,49083,661,5032555,490634,10257249
59,Myanmar,488875,1022,18388,29,441371,29116,0,8908,335,4641632,84576,54881187
60,Panama,470264,0,7291,0,460667,2306,49,106819,1656,3984637,905098,4402439
61,Paraguay,460529,0,16228,0,444006,295,9,63559,2240,1869831,258061,7245683
62,Slovakia,437938,553,12854,8,403414,21670,205,80163,2353,3770053,690099,5463062
63,Croatia,428233,319,8907,11,410027,9299,119,105152,2187,2974167,730303,4072510
64,Palestine,418675,709,4322,5,402405,11948,59,79682,823,2575407,490152,5254306
65,Ireland,416690,1576,5306,0,368837,42547,73,83188,1059,7760890,1549381,5009027
66,Kuwait,412332,0,2457,0,409308,567,6,94743,565,4582700,1052985,4352104
67,Venezuela,392762,0,4719,0,372863,15180,681,13863,167,3359014,118560,28331718
68,Uruguay,391044,0,6069,0,383399,1576,13,112070,1739,3708965,1062956,3489294
69,Honduras,372179,0,10097,0,113676,248406,217,36820,999,1069940,105851,10107935
70,Dominican Republic,370451,0,4087,0,358777,7587,223,33713,372,2141794,194913,10988437
71,Lithuania,370119,1468,5456,14,329615,35048,259,138460,2041,5310556,1986656,2673113
72,Denmark,369403,752,2688,3,357705,9010,13,63487,462,84812098,14576102,5818572
73,Ethiopia,359247,0,6217,0,328962,24068,599,3028,52,3604407,30383,118634078
74,Libya,350628,638,4904,21,280951,64773,0,50147,701,1742594,249229,6991935
75,S. Korea,343445,1049,2668,8,311781,28996,345,6691,52,15246350,297048,51326242
76,Mongolia,339536,1131,1556,14,307192,30788,192,101462,465,4030048,1204283,3346429
77,Egypt,318456,0,17970,0,268843,31643,90,3038,171,3693367,35234,104824549
78,Moldova,317899,1370,7273,32,295604,15022,184,79043,1808,1905136,473698,4021836
79,Slovenia,308501,364,4641,3,291452,12408,87,148367,2232,1651817,794407,2079308
80,Oman,304066,12,4106,1,299434,526,10,57654,779,25000000,4740226,5274010
81,Armenia,283183,1192,5805,27,254932,22446,0,95335,1954,1897268,638724,2970404
82,Bahrain,276118,0,1391,0,274076,651,3,155324,782,6687979,3762172,1777691
83,Kenya,252033,0,5223,0,245254,1556,34,4558,94,2639107,47725,55298632
84,Bosnia and Herzegovina,245082,270,11201,44,192218,41663,0,75308,3442,1270807,390487,3254414
85,Qatar,237996,67,608,0,236498,890,9,84762,217,2762080,983715,2807805
86,Zambia,209536,15,3658,0,205686,192,12,11001,192,2544381,133583,19047240
87,Nigeria,209298,0,2837,0,197143,9318,11,984,13,3142971,14775,212725060
88,Algeria,205286,0,5872,0,140758,58656,13,4575,131,230861,5145,44872758
89,North Macedonia,197197,106,6964,24,183474,6759,0,94658,3343,1344538,645400,2083263
90,Norway,196556,205,884,0,88952,106720,15,35894,161,8004891,1461809,5476017
91,Latvia,186869,1255,2897,7,158900,25072,138,100510,1558,4686676,2520796,1859205
92,Botswana,181856,0,2386,0,178124,1346,1,75369,989,1788867,741385,2412873
93,Uzbekistan,181312,354,1290,3,177213,2809,23,5318,38,1377915,40413,34095416
94,Kyrgyzstan,179913,68,2636,2,174692,2585,131,27001,396,1747014,262192,6663116
95,Albania,178188,217,2829,9,169085,6274,3,62006,984,1261888,439111,2873733
96,Estonia,173335,821,1429,3,154035,17871,33,130554,1076,2032101,1530555,1327689
97,Afghanistan,155776,12,7246,3,127143,21387,1124,3889,181,767209,19152,40058781
98,Finland,151207,1310,1120,4,46000,104087,33,27235,202,7279762,1311232,5551850
99,Mozambique,151102,0,1926,0,148187,989,32,4666,59,926360,28606,32383549
100,Singapore,148178,0,233,0,121965,25980,66,25073,39,20436387,3458053,5909795
101,Australia,145314,2179,1543,11,110092,33679,312,5614,60,41171124,1590724,25882006
102,Montenegro,138047,278,2036,13,131204,4807,65,219761,3241,780096,1241857,628169
103,Zimbabwe,132368,0,4658,0,126308,1402,12,8742,308,1464342,96706,15142246
104,Ghana,129440,0,1167,0,125839,2434,42,4056,37,1820128,57040,31909486
105,Namibia,128353,25,3540,2,123898,915,5,49361,1361,732414,281667,2600279
106,Uganda,125261,75,3185,0,96389,25687,298,2631,67,1755591,36881,47600950
107,Cyprus,120640,0,563,0,90755,29322,21,98989,462,9420908,7730185,1218717
108,Cambodia,116860,195,2670,12,111149,3041,0,6867,157,2554201,150091,17017708
109,El Salvador,110188,0,3490,13,92173,14525,345,16878,535,1329565,203655,6528508
110,Rwanda,99145,0,1313,0,45506,52326,4,7418,98,2997671,224275,13366059
111,Cameroon,98402,0,1550,0,80433,16419,152,3592,57,1751774,63939,27397567
112,Jamaica,87389,0,2110,0,55462,29817,29,29346,709,625285,209977,2977875
113,Maldives,86165,0,238,0,84627,1300,23,155862,431,1555335,2813411,552829
114,Luxembourg,79720,0,839,0,77447,1434,3,124734,1313,3554740,5561911,639122
115,Senegal,73873,7,1871,0,71975,27,6,4267,108,823671,47577,17312519
116,Angola,62842,0,1664,0,50626,10552,28,1838,49,1043451,30526,34182726
117,Malawi,61716,0,2292,0,56825,2599,67,3122,116,418712,21182,19767002
118,Ivory Coast,61038,0,682,0,59447,909,0,2242,25,1055780,38787,27220218
119,DRC,57269,0,1089,0,50930,5250,0,615,12,306299,3291,93067881
120,Guadeloupe,54152,0,731,0,2250,51171,23,135308,1827,485295,1212595,400212
121,Trinidad and Tobago,54114,0,1600,0,48141,4373,22,38506,1139,374677,266608,1405347
122,Réunion,54024,0,370,0,53520,134,33,59790,409,1279618,1416182,903569
123,Fiji,51846,22,663,0,48347,2836,3,57299,733,429732,474926,904839
124,Suriname,46447,0,1022,0,27071,18354,17,78270,1722,139994,235909,593423
125,Eswatini,46363,0,1233,0,44912,218,10,39435,1049,363224,308948,1175681
126,French Guiana,43376,0,295,0,9995,33086,26,140530,956,414645,1343376,308659
127,Madagascar,42898,0,958,0,41322,618,3,1499,33,249510,8722,28608455
128,Martinique,42167,0,638,0,104,41425,1,112479,1702,359082,957836,374889
129,French Polynesia,40178,0,633,0,33500,6045,11,141968,2237,26355,93125,283007
130,Sudan,39550,0,3038,0,32872,3640,0,876,67,238579,5282,45169194
131,Syria,39086,0,2408,0,25015,11663,0,2166,133,103566,5738,18048673
132,Cabo Verde,38040,0,347,0,37281,412,23,67472,615,211025,374299,563787
133,Malta,37464,11,459,0,36341,664,1,84557,1036,1211456,2734275,443063
134,Mauritania,36677,0,788,0,35446,443,22,7630,164,483054,100487,4807152
135,Guyana,34455,0,870,0,29732,3853,28,43534,1099,338451,427630,791458
136,Gabon,33442,0,213,0,27879,5350,26,14582,93,1275341,556082,2293440
137,Laos,32314,285,40,0,6558,25716,0,4360,5,568685,76726,7411857
138,Guinea,30572,0,385,0,29233,954,24,2249,28,564211,41511,13591775
139,Tanzania,26034,0,724,0,0,0,7,420,12,0,0,61925991
140,Togo,25899,0,239,0,25194,466,0,3037,28,534158,62629,8528871
141,Benin,24560,0,161,0,23971,428,5,1960,13,604310,48220,12532399
142,Papua New Guinea,24041,0,266,0,19840,3935,7,2623,29,197329,21529,9165677
143,Belize,23990,0,461,0,20724,2805,10,58952,1133,286236,703383,406942
144,Haiti,22933,0,657,0,20043,2233,0,1980,57,120507,10405,11582040
145,Seychelles,21833,0,119,0,21430,284,0,220237,1200,21504,216919,99134
146,Bahamas,21580,0,590,0,19683,1307,15,54208,1482,149289,375006,398098
147,Lesotho,21530,0,655,0,11997,8878,0,9948,303,227152,104959,2164193
148,Somalia,21269,0,1180,0,9927,10162,0,1292,72,239292,14534,16464469
149,Mayotte,20439,0,181,0,2964,17294,0,72659,643,176919,628934,281300
150,Timor-Leste,19725,11,119,0,19508,98,0,14602,88,169501,125478,1350842
151,Burundi,19555,0,38,0,773,18744,0,1584,3,345742,28002,12346893
152,Tajikistan,17086,0,124,0,16960,2,0,1741,13,0,0,9813867
153,Curaçao,16934,0,171,0,16487,276,4,102655,1037,295861,1793532,164960
154,Mauritius,16621,0,129,0,1854,14638,0,13041,101,358675,281425,1274497
155,Taiwan,16337,0,846,0,15352,139,0,684,35,6867115,287658,23872514
156,Nicaragua,15737,0,206,0,4225,11306,0,2340,31,0,0,6726343
157,Aruba,15720,0,170,0,15395,155,7,146434,1584,177885,1657025,107352
158,Mali,15643,24,557,0,14483,603,0,745,27,440105,20955,21002177
159,Congo,15514,0,222,0,12421,2871,0,2725,39,188207,33058,5693159
160,Andorra,15338,0,130,0,15139,69,4,198101,1679,193595,2500420,77425
161,Burkina Faso,14752,18,203,0,14217,332,0,682,9,221973,10257,21641770
162,Djibouti,13415,19,181,2,13112,122,0,13328,180,231332,229827,1006548
163,Barbados,12968,0,119,0,9330,3519,0,45054,413,357580,1242331,287830
164,Equatorial Guinea,12840,0,156,0,12263,421,1,8781,107,195087,133409,1462321
165,Iceland,12614,37,33,0,12061,520,0,36657,96,1105048,3211369,344105
166,Hong Kong,12300,5,213,0,11994,93,0,1624,28,25906063,3419684,7575572
167,Saint Lucia,12228,0,236,0,11439,553,10,66200,1278,83586,452521,184712
168,South Sudan,12184,0,130,0,11726,328,2,1072,11,240071,21127,11363218
169,Channel Islands,12174,0,98,0,11656,420,0,69197,557,973750,5534777,175933
170,CAR,11469,0,100,0,6859,4510,2,2323,20,60228,12197,4938130
171,Brunei ,11047,187,76,3,8242,2729,30,24943,172,444925,1004593,442891
172,New Caledonia,10070,93,242,1,55,9773,35,34839,837,42756,147922,289044
173,Gambia,9946,0,339,0,9600,7,3,3972,135,103647,41390,2504133
174,Yemen,9556,30,1807,3,6084,1665,23,312,59,265253,8648,30673035
175,Isle of Man,8642,64,54,0,7681,907,1,100940,631,125320,1463762,85615
176,Eritrea,6774,0,45,0,6677,52,0,1877,12,23693,6564,3609793
177,Sierra Leone,6396,0,121,0,4393,1882,0,781,15,160729,19634,8186221
178,Niger,6170,0,204,0,5858,108,0,244,8,165546,6535,25334047
179,Guinea-Bissau,6130,0,141,0,5396,593,0,3023,70,100624,49618,2027965
180,Liberia,5803,0,286,0,5458,59,2,1114,55,128246,24611,5210935
181,Gibraltar,5769,11,98,0,5509,162,3,171299,2910,375374,11145971,33678
182,Grenada,5746,12,192,0,5422,132,0,50761,1696,77248,682421,113197
183,Bermuda,5567,0,95,0,5122,350,1,89819,1533,569777,9192917,61980
184,San Marino,5470,0,91,0,5343,36,2,160774,2675,80733,2372895,34023
185,Chad,5067,0,174,0,4874,19,0,297,10,148082,8694,17033018
186,New Zealand,5055,64,28,0,4375,652,5,1011,6,3773075,754298,5002100
187,St. Vincent Grenadines,4623,0,53,0,2853,1717,2,41501,476,80024,718374,111396
188,Sint Maarten,4444,0,71,0,4309,64,10,102149,1632,53105,1220664,43505
189,Comoros,4190,4,147,0,4021,22,0,4689,165,0,0,893491
190,Dominica,4153,0,28,0,3841,284,0,57507,388,82691,1145035,72217
191,Antigua and Barbuda,3918,0,95,0,3121,702,9,39585,960,17674,178567,98977
192,Saint Martin,3819,0,55,0,1399,2365,7,96642,1392,54303,1374168,39517
193,Sao Tome and Principe,3677,0,56,0,3112,509,0,16385,250,14689,65456,224410
194,Liechtenstein,3498,8,60,0,3399,39,1,91406,1568,49126,1283702,38269
195,Monaco,3358,0,33,0,3284,41,2,84794,833,54960,1387809,39602
196,Turks and Caicos,2925,0,23,0,2855,47,1,74252,584,94789,2406240,39393
197,British Virgin Islands,2725,0,37,0,2649,39,7,89371,1213,82570,2708012,30491
198,Bhutan,2617,0,3,0,2605,9,0,3344,4,1178767,1506254,782582
199,Saint Kitts and Nevis,2556,6,21,0,1906,629,1,47611,391,51994,968501,53685
200,Caribbean Netherlands,2335,0,19,0,2157,159,0,87987,716,25579,963863,26538
201,St. Barth,1588,0,6,0,462,1120,0,160145,605,38369,3869403,9916
202,Faeroe Islands,1350,0,2,0,1261,87,0,27493,41,451000,9184775,49103
203,Cayman Islands,1011,0,2,0,827,182,0,15153,30,136206,2041487,66719
204,Diamond Princess,712,0,13,0,699,0,0,0,0,0,0,0
205,Anguilla,668,0,1,0,587,80,0,44017,66,42919,2828084,15176
206,Greenland,654,0,0,0,618,36,2,11494,0,81163,1426490,56897
207,Wallis and Futuna,445,0,7,0,438,0,0,40513,637,20508,1867079,10984
208,Macao,77,0,0,0,66,11,0,117,0,4988,7549,660764
209,Falkland Islands,68,0,0,0,67,1,0,18831,0,7643,2116588,3611
210,Montserrat,41,0,1,0,31,9,0,8207,200,1408,281825,4996
211,Saint Pierre Miquelon,32,0,0,0,32,0,0,5558,0,10173,1767066,5757
212,Vatican City,27,0,0,0,27,0,0,33582,0,0,0,804
213,Solomon Islands,20,0,0,0,20,0,0,28,0,4500,6351,708596
214,Western Sahara,10,0,1,0,8,1,0,16,2,0,0,616269
215,MS Zaandam,9,0,2,0,7,0,0,0,0,0,0,0
216,Palau,8,0,0,0,8,0,0,439,0,11133,611535,18205
217,Vanuatu,4,0,1,0,3,0,0,13,3,23000,72693,316398
218,Marshall Islands,4,0,0,0,4,0,0,67,0,0,0,59706
219,Samoa,3,0,0,0,3,0,0,15,0,0,0,200118
220,Saint Helena,2,0,0,0,2,0,0,328,0,0,0,6100
221,Micronesia,1,0,0,0,1,0,0,9,0,0,0,116580
222,China,96546,24,4636,0,91394,516,1,67,3,160000000,111163,1439323776
